country,country_code,indicator,year,value,long_name,income_group,region,lending_category,other_groups,currency_unit,latest_population_census,latest_household_survey,special_notes,national_accounts_base_year,national_accounts_reference_year,system_of_national_accounts,sna_price_valuation,ppp_survey_years,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data,2-alpha_code,wb-2_code,table_name,short_name
Albania,ALB       ,Average grace period on new external debt commitments (years),2006,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average grace period on new external debt commitments, official (years)",2006,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average grace period on new external debt commitments, private (years)",2006,19.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,Average grant element on new external debt commitments (%),2006,37.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average grant element on new external debt commitments, official (%)",2006,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average grant element on new external debt commitments, private (%)",2006,55.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,Average interest on new external debt commitments (%),2006,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average interest on new external debt commitments, official (%)",2006,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average interest on new external debt commitments, private (%)",2006,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,Average maturity on new external debt commitments (years),2006,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average maturity on new external debt commitments, official (years)",2006,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Average maturity on new external debt commitments, private (years)",2006,27.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,Concessional debt (% of total external debt),2006,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Currency composition of PPG debt, all other currencies (%)",2006,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB       ,"Currency composition of PPG debt, Euro (%)",2006,31.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD       ,Average grace period on new external debt commitments (years),2006,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD       ,"Average grace period on new external debt commitments, official (years)",2006,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD       ,Average grant element on new external debt commitments (%),2006,39.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
